,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.899,0.003,0.502,0.003,0.502
3,D2,0.002,0.438,0.003,0.502,0.003,0.502
4,D3,0.005,0.872,0.004,0.502,0.005,0.502
5,D4,0.013,1.898,0.007,0.502,0.011,0.502
6,D5,0.032,1.942,0.026,0.502,0.019,0.502
7,D6,0.045,1.463,0.031,0.502,0.048,0.502
8,D7,0.222,1.901,0.125,0.502,0.136,0.502
9,D8,0.303,1.856,0.183,0.502,0.187,0.502
10,D9,0.455,1.674,0.314,0.502,0.335,0.502
11,D10,0.202,0.6,0.398,0.502,0.407,0.502
12,D11,0.654,1.717,0.424,0.502,0.413,0.502
13,D12,0.207,0.466,0.353,0.502,0.377,0.502
14,D13,0.498,1.011,0.573,0.502,0.575,0.502
15,D14,0.312,0.612,0.455,0.502,0.481,0.502
16,D15,0.754,1.492,0.61,0.502,0.618,0.502
17,D16,0.584,1.039,0.684,0.502,0.651,0.502
18,D17,1.068,1.771,0.666,0.502,0.66,0.502
19,D18,1.189,1.703,0.791,0.502,0.804,0.502
20,D19,0.453,0.608,0.842,0.502,0.867,0.502
21,D20,1.114,1.46,0.864,0.502,0.888,0.502
22,D21,1.394,1.81,0.88,0.502,0.875,0.502
23,D22,1.194,1.497,0.887,0.502,0.918,0.502
24,D23,1.389,1.744,0.906,0.502,0.88,0.502
25,D24,1.515,1.647,1.047,0.502,1.048,0.502
26,D25,1.758,1.734,1.144,0.502,1.164,0.502
27,D26,3.25,1.736,2.114,0.502,2.152,0.502
28,D27,2.655,1.409,2.24,0.502,1.501,0.502
29,D28,2.495,1.193,1.637,0.502,1.668,0.502
30,D29,3.952,1.832,1.627,0.502,1.647,0.502
31,D30,3.964,1.623,1.772,0.502,1.817,0.502
32,D31,4.766,1.639,2.115,0.502,2.162,0.502
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.499,1.429,23.725,0.502,23.32,0.502,8.418
